Age Range,Gender,Fitness Goal,Activity Level,Dietary Preferences,Medical Conditions,Experience Level,Meal Recommendation
51-60,Female,Maintain Fitness,Very Active,Balanced diet,None,Advanced,Salmon Salad with Avocado
51-60,Female,Maintain Fitness,Very Active,Balanced diet,None,Advanced,Grilled Shrimp with Spinach Salad
51-60,Female,Maintain Fitness,Very Active,Balanced diet,None,Advanced,Chicken and Quinoa Bowl
51-60,Female,Maintain Fitness,Very Active,Balanced diet,None,Advanced,Beef Stir-Fry with Mixed Vegetables
51-60,Female,Maintain Fitness,Very Active,Balanced diet,None,Advanced,Egg and Veggie Scramble
51-60,Female,Maintain Fitness,Very Active,Balanced diet,None,Advanced,Chicken and Vegetable Stir-Fry
51-60,Female,Maintain Fitness,Very Active,Balanced diet,None,Advanced,Grilled Tuna with Vegetables
51-60,Male,Gain Muscle,Moderately Active,High protein,None,Advanced,Beef and Veggie Skewers
51-60,Male,Gain Muscle,Moderately Active,High protein,None,Advanced,Chicken and Lentil Salad
51-60,Male,Gain Muscle,Moderately Active,High protein,None,Advanced,Salmon with Quinoa and Spinach
51-60,Male,Gain Muscle,Moderately Active,High protein,None,Advanced,Turkey and Sweet Potato Stew
51-60,Male,Gain Muscle,Moderately Active,High protein,None,Advanced,Greek Yogurt Smoothie with Protein Powder
51-60,Male,Gain Muscle,Moderately Active,High protein,None,Advanced,Egg and Veggie Frittata
51-60,Male,Gain Muscle,Moderately Active,High protein,None,Advanced,Cottage Cheese with Fresh Fruit
51-60,Male,Gain Muscle,Moderately Active,High protein,None,Advanced,Grilled Chicken with Mixed Vegetables
51-60,Male,Gain Muscle,Moderately Active,High protein,None,Advanced,Quinoa and Black Bean Salad
51-60,Male,Gain Muscle,Moderately Active,High protein,None,Advanced,Baked Cod with Roasted Brussels Sprouts
51-60,Female,Lose Weight,Lightly Active,Low carb,Diabetes,Beginner,Chicken Salad with Avocado and Tomato
51-60,Female,Lose Weight,Lightly Active,Low carb,Diabetes,Beginner,Stuffed Bell Peppers with Lean Ground Turkey
51-60,Female,Lose Weight,Lightly Active,Low carb,Diabetes,Beginner,Grilled Salmon with Spinach and Mushrooms
51-60,Female,Lose Weight,Lightly Active,Low carb,Diabetes,Beginner,Cauliflower Rice with Stir-Fried Vegetables
51-60,Female,Lose Weight,Lightly Active,Low carb,Diabetes,Beginner,Zucchini Noodles with Chicken and Pesto
51-60,Female,Lose Weight,Lightly Active,Low carb,Diabetes,Beginner,Egg White Omelette with Vegetables
51-60,Female,Lose Weight,Lightly Active,Low carb,Diabetes,Beginner,Greek Yogurt with Berries and Nuts
51-60,Female,Lose Weight,Lightly Active,Low carb,Diabetes,Beginner,Chicken Soup with Kale
51-60,Female,Lose Weight,Lightly Active,Low carb,Diabetes,Beginner,Spinach and Feta Stuffed Chicken Breast
51-60,Female,Lose Weight,Lightly Active,Low carb,Diabetes,Beginner,Baked Tilapia with Asparagus
61-70,Male,Maintain Fitness,Sedentary,Balanced diet,Heart disease,Beginner,Baked Salmon with Steamed Vegetables
61-70,Male,Maintain Fitness,Sedentary,Balanced diet,Heart disease,Beginner,Chicken and Brown Rice Bowl
61-70,Male,Maintain Fitness,Sedentary,Balanced diet,Heart disease,Beginner,Quinoa Salad with Roasted Vegetables
61-70,Male,Maintain Fitness,Sedentary,Balanced diet,Heart disease,Beginner,Greek Yogurt with Fresh Fruit
61-70,Male,Maintain Fitness,Sedentary,Balanced diet,Heart disease,Beginner,Lentil Soup with Spinach
61-70,Male,Maintain Fitness,Sedentary,Balanced diet,Heart disease,Beginner,Stuffed Bell Peppers with Ground Turkey
61-70,Male,Maintain Fitness,Sedentary,Balanced diet,Heart disease,Beginner,Egg Salad Lettuce Wraps
61-70,Male,Maintain Fitness,Sedentary,Balanced diet,Heart disease,Beginner,Baked Cod with Mixed Greens
61-70,Male,Maintain Fitness,Sedentary,Balanced diet,Heart disease,Beginner,Chicken and Vegetable Stir-Fry
61-70,Male,Maintain Fitness,Sedentary,Balanced diet,Heart disease,Beginner,Cottage Cheese with Berries
61-70,Female,Gain Muscle,Moderately Active,High protein,Osteoporosis,Intermediate,Grilled Chicken Breast with Broccoli
61-70,Female,Gain Muscle,Moderately Active,High protein,Osteoporosis,Intermediate,Turkey and Quinoa Stuffed Peppers
61-70,Female,Gain Muscle,Moderately Active,High protein,Osteoporosis,Intermediate,Salmon with Sweet Potatoes
61-70,Female,Gain Muscle,Moderately Active,High protein,Osteoporosis,Intermediate,Greek Yogurt with Almonds
61-70,Female,Gain Muscle,Moderately Active,High protein,Osteoporosis,Intermediate,Egg White Omelette with Spinach and Feta
61-70,Female,Gain Muscle,Moderately Active,High protein,Osteoporosis,Intermediate,Chicken and Vegetable Stir-Fry
61-70,Female,Gain Muscle,Moderately Active,High protein,Osteoporosis,Intermediate,Protein Smoothie with Spinach and Banana
61-70,Female,Gain Muscle,Moderately Active,High protein,Osteoporosis,Intermediate,Cottage Cheese with Fresh Fruit
61-70,Female,Gain Muscle,Moderately Active,High protein,Osteoporosis,Intermediate,Lentil and Vegetable Soup
61-70,Female,Gain Muscle,Moderately Active,High protein,Osteoporosis,Intermediate,Baked Salmon with Asparagus
18-30,Male,Gain Muscle,Sedentary,Balanced diet,None,Beginner,Chicken Salad with Avocado and Tomato
18-30,Male,Gain Muscle,Sedentary,Balanced diet,None,Beginner,Stuffed Bell Peppers with Lean Ground Turkey
18-30,Male,Gain Muscle,Sedentary,Balanced diet,None,Beginner,Grilled Salmon with Spinach and Mushrooms
18-30,Male,Gain Muscle,Sedentary,Balanced diet,None,Beginner,Cauliflower Rice with Stir-Fried Vegetables
18-30,Male,Gain Muscle,Sedentary,Balanced diet,None,Beginner,Zucchini Noodles with Chicken and Pesto
18-30,Male,Gain Muscle,Sedentary,Balanced diet,None,Beginner,Egg White Omelette with Vegetables
18-30,Male,Gain Muscle,Sedentary,Balanced diet,None,Beginner,Greek Yogurt with Berries and Nuts
18-30,Male,Gain Muscle,Sedentary,Balanced diet,None,Beginner,Chicken Soup with Kale
18-30,Male,Gain Muscle,Sedentary,Balanced diet,None,Beginner,Spinach and Feta Stuffed Chicken Breast
18-30,Male,Gain Muscle,Sedentary,Balanced diet,None,Beginner,Baked Tilapia with Asparagus
18-30,Female,Lose Weight,Lightly Active,Low carb,Diabetes,Beginner,Chicken Salad with Avocado and Tomato
18-30,Female,Lose Weight,Lightly Active,Low carb,Diabetes,Beginner,Stuffed Bell Peppers with Lean Ground Turkey
18-30,Female,Lose Weight,Lightly Active,Low carb,Diabetes,Beginner,Grilled Salmon with Spinach and Mushrooms
18-30,Female,Lose Weight,Lightly Active,Low carb,Diabetes,Beginner,Cauliflower Rice with Stir-Fried Vegetables
18-30,Female,Lose Weight,Lightly Active,Low carb,Diabetes,Beginner,Zucchini Noodles with Chicken and Pesto
18-30,Female,Lose Weight,Lightly Active,Low carb,Diabetes,Beginner,Egg White Omelette with Vegetables
18-30,Female,Lose Weight,Lightly Active,Low carb,Diabetes,Beginner,Greek Yogurt with Berries and Nuts
18-30,Female,Lose Weight,Lightly Active,Low carb,Diabetes,Beginner,Chicken Soup with Kale
18-30,Female,Lose Weight,Lightly Active,Low carb,Diabetes,Beginner,Spinach and Feta Stuffed Chicken Breast
18-30,Female,Lose Weight,Lightly Active,Low carb,Diabetes,Beginner,Baked Tilapia with Asparagus
18-30,Male,Maintain Fitness,Moderately Active,High protein,Heart disease,Intermediate,Grilled Chicken Breast with Broccoli
18-30,Male,Maintain Fitness,Moderately Active,High protein,Heart disease,Intermediate,Turkey and Quinoa Stuffed Peppers
18-30,Male,Maintain Fitness,Moderately Active,High protein,Heart disease,Intermediate,Salmon with Sweet Potatoes
18-30,Male,Maintain Fitness,Moderately Active,High protein,Heart disease,Intermediate,Greek Yogurt with Almonds
18-30,Male,Maintain Fitness,Moderately Active,High protein,Heart disease,Intermediate,Egg White Omelette with Spinach and Feta
18-30,Male,Maintain Fitness,Moderately Active,High protein,Heart disease,Intermediate,Chicken and Vegetable Stir-Fry
18-30,Male,Maintain Fitness,Moderately Active,High protein,Heart disease,Intermediate,Protein Smoothie with Spinach and Banana
18-30,Male,Maintain Fitness,Moderately Active,High protein,Heart disease,Intermediate,Cottage Cheese with Fresh Fruit
18-30,Male,Maintain Fitness,Moderately Active,High protein,Heart disease,Intermediate,Lentil and Vegetable Soup
18-30,Male,Maintain Fitness,Moderately Active,High protein,Heart disease,Intermediate,Baked Salmon with Asparagus
18-30,Female,Gain Muscle,Very Active,High protein,Osteoporosis,Advanced,Beef and Veggie Skewers
18-30,Female,Gain Muscle,Very Active,High protein,Osteoporosis,Advanced,Chicken and Lentil Salad
18-30,Female,Gain Muscle,Very Active,High protein,Osteoporosis,Advanced,Salmon with Quinoa and Spinach
18-30,Female,Gain Muscle,Very Active,High protein,Osteoporosis,Advanced,Turkey and Sweet Potato Stew
18-30,Female,Gain Muscle,Very Active,High protein,Osteoporosis,Advanced,Greek Yogurt Smoothie with Protein Powder
18-30,Female,Gain Muscle,Very Active,High protein,Osteoporosis,Advanced,Egg and Veggie Frittata
18-30,Female,Gain Muscle,Very Active,High protein,Osteoporosis,Advanced,Cottage Cheese with Fresh Fruit
18-30,Female,Gain Muscle,Very Active,High protein,Osteoporosis,Advanced,Grilled Chicken with Mixed Vegetables
18-30,Female,Gain Muscle,Very Active,High protein,Osteoporosis,Advanced,Quinoa and Black Bean Salad
18-30,Female,Gain Muscle,Very Active,High protein,Osteoporosis,Advanced,Baked Cod with Roasted Brussels Sprouts
